CPU Usage: 0.499376%, Memory Usage: 18.098573%
CPU Usage: 0.062500%, Memory Usage: 18.098573%
CPU Usage: 0.686213%, Memory Usage: 18.092440%
CPU Usage: 2.121023%, Memory Usage: 17.789695%
CPU Usage: 0.375469%, Memory Usage: 17.801860%
CPU Usage: 0.062500%, Memory Usage: 17.795624%
CPU Usage: 1.681196%, Memory Usage: 17.806511%
CPU Usage: 0.000000%, Memory Usage: 17.801707%
CPU Usage: 4.393564%, Memory Usage: 17.891871%
CPU Usage: 0.124844%, Memory Usage: 17.894171%
CPU Usage: 0.438048%, Memory Usage: 17.917887%
CPU Usage: 1.751094%, Memory Usage: 17.994097%
CPU Usage: 1.125000%, Memory Usage: 17.981984%
CPU Usage: 0.499064%, Memory Usage: 17.965321%
CPU Usage: 0.374065%, Memory Usage: 17.965934%
CPU Usage: 0.623441%, Memory Usage: 17.959494%
CPU Usage: 0.000000%, Memory Usage: 17.959494%
CPU Usage: 0.624610%, Memory Usage: 17.960056%
CPU Usage: 0.124922%, Memory Usage: 17.936850%
CPU Usage: 1.122895%, Memory Usage: 17.628228%
CPU Usage: 0.624220%, Memory Usage: 17.632522%
CPU Usage: 0.500626%, Memory Usage: 17.643000%
CPU Usage: 0.000000%, Memory Usage: 17.643000%
CPU Usage: 0.750000%, Memory Usage: 17.652762%
